,country_name,total_cases,total_deaths,total_recovered,lat,long,text
51,Fiji,16,,,-16.578193,179.414413,"Country: Fiji
 Total Case:16
 Total Death:
 Total Recovered:"
52,France,143303,15729,28805,46.227638,2.213749,"Country: France
 Total Case:143303
 Total Death:15729
 Total Recovered:28805"
53,Gabon,80,1,4,-0.803689,11.609444,"Country: Gabon
 Total Case:80
 Total Death:1
 Total Recovered:4"
54,UK,98476,12868,N/A,55.378051,-3.435973,"Country: UK
 Total Case:98476
 Total Death:12868
 Total Recovered:N/A"
55,Grenada,14,,,12.262776,-61.604171,"Country: Grenada
 Total Case:14
 Total Death:
 Total Recovered:"
56,Georgia,306,3,71,42.315407,43.356892,"Country: Georgia
 Total Case:306
 Total Death:3
 Total Recovered:71"
57,French Guiana,86,,51,3.933889,-53.125782,"Country: French Guiana
 Total Case:86
 Total Death:
 Total Recovered:51"
58,Ghana,636,8,17,7.946527,-1.023194,"Country: Ghana
 Total Case:636
 Total Death:8
 Total Recovered:17"
59,Gibraltar,129,,104,36.137741,-5.345374,"Country: Gibraltar
 Total Case:129
 Total Death:
 Total Recovered:104"
60,Greenland,11,,11,71.706936,-42.604303,"Country: Greenland
 Total Case:11
 Total Death:
 Total Recovered:11"
61,Gambia,9,1,2,13.443182,-15.310139,"Country: Gambia
 Total Case:9
 Total Death:1
 Total Recovered:2"
62,Guinea,404,1,31,9.945587,-9.696645,"Country: Guinea
 Total Case:404
 Total Death:1
 Total Recovered:31"
63,Guadeloupe,145,8,67,16.995971,-62.067641,"Country: Guadeloupe
 Total Case:145
 Total Death:8
 Total Recovered:67"
64,Equatorial Guinea,51,,4,1.650801,10.267895,"Country: Equatorial Guinea
 Total Case:51
 Total Death:
 Total Recovered:4"
65,Greece,2192,102,269,39.074208,21.824312,"Country: Greece
 Total Case:2192
 Total Death:102
 Total Recovered:269"
66,Guatemala,180,5,19,15.783471,-90.230759,"Country: Guatemala
 Total Case:180
 Total Death:5
 Total Recovered:19"
67,Guinea-Bissau,43,,,11.803749,-15.180413,"Country: Guinea-Bissau
 Total Case:43
 Total Death:
 Total Recovered:"
68,Guyana,48,6,8,4.860416,-58.93018,"Country: Guyana
 Total Case:48
 Total Death:6
 Total Recovered:8"
69,Hong Kong,1017,4,459,22.396428,114.109497,"Country: Hong Kong
 Total Case:1017
 Total Death:4
 Total Recovered:459"
70,Honduras,419,31,9,15.199999,-86.241905,"Country: Honduras
 Total Case:419
 Total Death:31
 Total Recovered:9"
71,Croatia,1741,34,473,45.1,15.2,"Country: Croatia
 Total Case:1741
 Total Death:34
 Total Recovered:473"
72,Haiti,40,3,,18.971187,-72.285215,"Country: Haiti
 Total Case:40
 Total Death:3
 Total Recovered:"
73,Hungary,1579,134,192,47.162494,19.503304,"Country: Hungary
 Total Case:1579
 Total Death:134
 Total Recovered:192"
74,Indonesia,5136,469,446,-0.789275,113.921327,"Country: Indonesia
 Total Case:5136
 Total Death:469
 Total Recovered:446"
75,Ireland,11479,406,77,53.41291,-8.24389,"Country: Ireland
 Total Case:11479
 Total Death:406
 Total Recovered:77"
76,Israel,12200,126,2309,31.046051,34.851612,"Country: Israel
 Total Case:12200
 Total Death:126
 Total Recovered:2309"
77,India,12320,405,1432,20.593684,78.96288,"Country: India
 Total Case:12320
 Total Death:405
 Total Recovered:1432"
78,Iraq,1415,79,812,33.223191,43.679291,"Country: Iraq
 Total Case:1415
 Total Death:79
 Total Recovered:812"
79,Iran,76389,4777,49933,32.427908,53.688046,"Country: Iran
 Total Case:76389
 Total Death:4777
 Total Recovered:49933"
80,Iceland,1727,8,1077,64.963051,-19.020835,"Country: Iceland
 Total Case:1727
 Total Death:8
 Total Recovered:1077"
81,Italy,165155,21645,38092,41.87194,12.56738,"Country: Italy
 Total Case:165155
 Total Death:21645
 Total Recovered:38092"
82,Jamaica,105,5,21,18.109581,-77.297508,"Country: Jamaica
 Total Case:105
 Total Death:5
 Total Recovered:21"
83,Jordan,397,7,235,30.585164,36.238414,"Country: Jordan
 Total Case:397
 Total Death:7
 Total Recovered:235"
84,Japan,8100,146,853,36.204824,138.252924,"Country: Japan
 Total Case:8100
 Total Death:146
 Total Recovered:853"
85,Kenya,225,10,53,-0.023559,37.906193,"Country: Kenya
 Total Case:225
 Total Death:10
 Total Recovered:53"
86,Kyrgyzstan,449,5,78,41.20438,74.766098,"Country: Kyrgyzstan
 Total Case:449
 Total Death:5
 Total Recovered:78"
87,Cambodia,122,,96,12.565679,104.990963,"Country: Cambodia
 Total Case:122
 Total Death:
 Total Recovered:96"
88,Kuwait,1405,3,206,29.31166,47.481766,"Country: Kuwait
 Total Case:1405
 Total Death:3
 Total Recovered:206"
89,Cayman Islands,54,1,6,19.513469,-80.566956,"Country: Cayman Islands
 Total Case:54
 Total Death:1
 Total Recovered:6"
90,Kazakhstan,1290,16,240,48.019573,66.923684,"Country: Kazakhstan
 Total Case:1290
 Total Death:16
 Total Recovered:240"
91,Laos,19,,1,19.85627,102.495496,"Country: Laos
 Total Case:19
 Total Death:
 Total Recovered:1"
