,country_name,total_cases,total_deaths,total_recovered,lat,long,text
50,France,147969,18681,34420,46.227638,2.213749,"Country: France
 Total Case:147969
 Total Death:18681
 Total Recovered:34420"
51,Gabon,108,1,7,-0.803689,11.609444,"Country: Gabon
 Total Case:108
 Total Death:1
 Total Recovered:7"
52,UK,114217,15464,N/A,55.378051,-3.435973,"Country: UK
 Total Case:114217
 Total Death:15464
 Total Recovered:N/A"
53,Grenada,14,,6,12.262775999999999,-61.604170999999994,"Country: Grenada
 Total Case:14
 Total Death:
 Total Recovered:6"
54,Georgia,385,3,84,42.315407,43.356891999999995,"Country: Georgia
 Total Case:385
 Total Death:3
 Total Recovered:84"
55,French Guiana,96,,64,3.9338889999999997,-53.125781999999994,"Country: French Guiana
 Total Case:96
 Total Death:
 Total Recovered:64"
56,Ghana,834,9,99,7.946527000000001,-1.0231940000000002,"Country: Ghana
 Total Case:834
 Total Death:9
 Total Recovered:99"
57,Gibraltar,132,,111,36.137741,-5.345374,"Country: Gibraltar
 Total Case:132
 Total Death:
 Total Recovered:111"
58,Greenland,11,,11,71.706936,-42.604303,"Country: Greenland
 Total Case:11
 Total Death:
 Total Recovered:11"
59,Gambia,9,1,2,13.443182,-15.310139000000001,"Country: Gambia
 Total Case:9
 Total Death:1
 Total Recovered:2"
60,Guinea,518,3,65,9.945587,-9.696645,"Country: Guinea
 Total Case:518
 Total Death:3
 Total Recovered:65"
61,Guadeloupe,145,8,67,16.995971,-62.067641,"Country: Guadeloupe
 Total Case:145
 Total Death:8
 Total Recovered:67"
62,Equatorial Guinea,79,,4,1.6508009999999997,10.267895,"Country: Equatorial Guinea
 Total Case:79
 Total Death:
 Total Recovered:4"
63,Greece,2235,110,269,39.074208,21.824312,"Country: Greece
 Total Case:2235
 Total Death:110
 Total Recovered:269"
64,Guatemala,235,7,21,15.783470999999999,-90.23075899999999,"Country: Guatemala
 Total Case:235
 Total Death:7
 Total Recovered:21"
65,Guinea-Bissau,46,,,11.803749,-15.180413,"Country: Guinea-Bissau
 Total Case:46
 Total Death:
 Total Recovered:"
66,Guyana,63,6,9,4.860416000000001,-58.93018000000001,"Country: Guyana
 Total Case:63
 Total Death:6
 Total Recovered:9"
67,Hong Kong,1024,4,568,22.396428,114.10949699999999,"Country: Hong Kong
 Total Case:1024
 Total Death:4
 Total Recovered:568"
68,Honduras,457,46,10,15.199998999999998,-86.241905,"Country: Honduras
 Total Case:457
 Total Death:46
 Total Recovered:10"
69,Croatia,1832,39,615,45.1,15.2,"Country: Croatia
 Total Case:1832
 Total Death:39
 Total Recovered:615"
70,Haiti,44,3,,18.971187,-72.28521500000001,"Country: Haiti
 Total Case:44
 Total Death:3
 Total Recovered:"
71,Hungary,1834,172,231,47.162494,19.503304,"Country: Hungary
 Total Case:1834
 Total Death:172
 Total Recovered:231"
72,Indonesia,6248,535,631,-0.789275,113.921327,"Country: Indonesia
 Total Case:6248
 Total Death:535
 Total Recovered:631"
73,Ireland,14758,571,77,53.41291,-8.243889999999999,"Country: Ireland
 Total Case:14758
 Total Death:571
 Total Recovered:77"
74,Israel,13265,164,3456,31.046051000000002,34.851612,"Country: Israel
 Total Case:13265
 Total Death:164
 Total Recovered:3456"
75,India,14792,488,2045,20.593684,78.96288,"Country: India
 Total Case:14792
 Total Death:488
 Total Recovered:2045"
76,Iceland,1760,9,1291,64.96305100000001,-19.020835,"Country: Iceland
 Total Case:1760
 Total Death:9
 Total Recovered:1291"
77,Italy,175925,23227,44927,41.87194,12.56738,"Country: Italy
 Total Case:175925
 Total Death:23227
 Total Recovered:44927"
78,Jamaica,163,5,25,18.109581,-77.297508,"Country: Jamaica
 Total Case:163
 Total Death:5
 Total Recovered:25"
79,Jordan,413,7,269,30.585164000000002,36.238414,"Country: Jordan
 Total Case:413
 Total Death:7
 Total Recovered:269"
80,Japan,9787,190,935,36.204824,138.252924,"Country: Japan
 Total Case:9787
 Total Death:190
 Total Recovered:935"
81,Kenya,262,12,60,-0.023559,37.906193,"Country: Kenya
 Total Case:262
 Total Death:12
 Total Recovered:60"
82,Kyrgyzstan,506,5,130,41.20438,74.766098,"Country: Kyrgyzstan
 Total Case:506
 Total Death:5
 Total Recovered:130"
83,Cambodia,122,,103,12.565679,104.990963,"Country: Cambodia
 Total Case:122
 Total Death:
 Total Recovered:103"
84,Kuwait,1751,6,280,29.311659999999996,47.481766,"Country: Kuwait
 Total Case:1751
 Total Death:6
 Total Recovered:280"
85,Cayman Islands,61,1,7,19.513469,-80.566956,"Country: Cayman Islands
 Total Case:61
 Total Death:1
 Total Recovered:7"
86,Kazakhstan,1615,17,377,48.019573,66.923684,"Country: Kazakhstan
 Total Case:1615
 Total Death:17
 Total Recovered:377"
87,Lebanon,672,21,99,33.854721000000005,35.862285,"Country: Lebanon
 Total Case:672
 Total Death:21
 Total Recovered:99"
88,Saint Lucia,15,,11,13.909444,-60.97889300000001,"Country: Saint Lucia
 Total Case:15
 Total Death:
 Total Recovered:11"
